Job Profile,Job URL,Company Name,Location
Poetshulp thuiszorg,https://in.linkedin.com/jobs/view/poetshulp-thuiszorg-at-i-mens-3338988459?refId=%2Fx9wwtpHP0Fx%2BGwecMua1Q%3D%3D&trackingId=B8EVwJ2vUEyR%2FIspqMdRww%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,i-mens,"Kochi, Kerala, India"
Terminal Manager,https://in.linkedin.com/jobs/view/terminal-manager-at-shell-3384338290?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=cfAq%2BjFGxd371A8ekHnNyQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,Shell,"Bengaluru, Karnataka, India"
Senior Supervisor - Process Shift Operation,https://in.linkedin.com/jobs/view/senior-supervisor-process-shift-operation-at-ultratech-cement-3364842475?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=OXFMMq3Ugeug7VL6FVV4UQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,UltraTech Cement,"Jharsuguda, Odisha, India"
(India-Chennai) Supervisor - Operations,https://in.linkedin.com/jobs/view/india-chennai-supervisor-operations-at-wesco-3311851886?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=42nOoiWe8Io5njCGNEKHZA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Wesco,"Chennai, Tamil Nadu, India"
Zoomcar - Fleet Manager,https://in.linkedin.com/jobs/view/zoomcar-fleet-manager-at-zoomcar-3366462256?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=A%2Bd0VHQcq9%2FHeK96FnC1YA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Zoomcar,"Kolkata, West Bengal, India"
Zoomcar - Fleet Manager,https://in.linkedin.com/jobs/view/zoomcar-fleet-manager-at-zoomcar-3366465102?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=lQ3dufhyRMIuiD8SWdftEA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Zoomcar,"Hyderabad, Telangana, India"
Mechanical Operations Supervisor,https://in.linkedin.com/jobs/view/mechanical-operations-supervisor-at-sahaj-pharma-for-hr-solutions-3364308204?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=hW59L0MwvFL72g40zsRtjA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Sahaj Pharma - For HR Solutions,"Jhagadia, Gujarat, India"
City Fleet Manager | Hyderabad,https://in.linkedin.com/jobs/view/city-fleet-manager-hyderabad-at-moove-3145942988?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=o41zX0bEE8jgO419Bt3gzg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Moove,"Hyderabad, Telangana, India"
Fleet Supply Manager - Transportation,https://in.linkedin.com/jobs/view/fleet-supply-manager-transportation-at-lightyear-hr-3361332774?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=SYpDJ5xMPHSDKD0SP7CmkA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,LightYear HR,"Bengaluru, Karnataka, India"
Hiring - Manager - Port Terminal Operations,https://in.linkedin.com/jobs/view/hiring-manager-port-terminal-operations-at-hapag-lloyd-ag-3365642456?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=VEoWp4%2FjYIgB0eitKI5shw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Hapag-Lloyd AG,"Mumbai, Maharashtra, India"
City Fleet Manager | Bengaluru,https://in.linkedin.com/jobs/view/city-fleet-manager-bengaluru-at-moove-3262432891?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=%2BiJUddObZ1QiY%2Bucic6HYA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Moove,"Bangalore Urban, Karnataka, India"
Fleet Manager,https://in.linkedin.com/jobs/view/fleet-manager-at-bd-select-3388569933?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=nf6pbJX%2BRwjN9HhgF1Rkow%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,BD SELECT,Mumbai Metropolitan Region
Team Lead/ Assistant Manager - Procurement Operations,https://in.linkedin.com/jobs/view/team-lead-assistant-manager-procurement-operations-at-gep-worldwide-3375518851?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=uSnL5d0yv%2Bktw0Q0a59CUg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,GEP Worldwide,"Mumbai, Maharashtra, India"
City Fleet Manager | Mumbai,https://in.linkedin.com/jobs/view/city-fleet-manager-mumbai-at-moove-3369427698?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=gzKe4bJgnumRnuSksBk7%2FA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Moove,"Mumbai, Maharashtra, India"
Manager - Fleet Management-BFS024919,https://in.linkedin.com/jobs/view/manager-fleet-management-bfs024919-at-genpact-3399241025?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=7EPvILIaV7VLq2I0y8TfNw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,Genpact,"Jaipur, Rajasthan, India"
CIEL/SEL/25242: Fleet Manager,https://in.linkedin.com/jobs/view/ciel-sel-25242-fleet-manager-at-ciel-hr-3359520812?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=2YRcp83uWcP6%2BHDRbdJjTg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,CIEL HR,"Salem, Tamil Nadu, India"
CIEL/STF/25480: Fleet Manager,https://in.linkedin.com/jobs/view/ciel-stf-25480-fleet-manager-at-ciel-hr-3370642493?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=PFGCPixcHrY1YOKB7SHxxQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,CIEL HR,"Lucknow, Uttar Pradesh, India"
CIEL/SEL/27880: Fleet Manager,https://in.linkedin.com/jobs/view/ciel-sel-27880-fleet-manager-at-ciel-hr-3337843706?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=kuL7S1VIev2flSvrGkROww%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,CIEL HR,"Nellore, Andhra Pradesh, India"
CIEL/SEL/28208: Fleet Manager - Varanasi,https://in.linkedin.com/jobs/view/ciel-sel-28208-fleet-manager-varanasi-at-ciel-hr-3359520905?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=CKWfa5sTkWVqFDgwHRs9HA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,CIEL HR,"Varanasi, Uttar Pradesh, India"
CIEL/SEL/25884: Fleet Manager - Gurgaon,https://in.linkedin.com/jobs/view/ciel-sel-25884-fleet-manager-gurgaon-at-ciel-hr-3390737806?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=oyB2qQEF9YyvGIlHR6KlZA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,CIEL HR,"Gurgaon, Haryana, India"
Operations Supervisor Bilingüe - Remote,https://in.linkedin.com/jobs/view/operations-supervisor-bilingu%CC%88e-remote-at-wing-assistant-3343638736?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=KKBOhnwbtcFrJo4DYFztLA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,Wing Assistant,"Mumbai, Maharashtra, India"
Manager Terminal Certification 1 1,https://in.linkedin.com/jobs/view/manager-terminal-certification-1-1-at-worldline-3375870446?refId=y2K8geHjWe%2Fxtmc%2BmhqSog%3D%3D&trackingId=66LLb4zuYQU6%2B1QAYvShwQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Worldline,"Hyderabad, Telangana, India"
